Title,Director,Stars,IMDb-Rating,Category,Duration,Censor-board-rating,ReleaseYear
Top Gun: Maverick,JosephKosinski,"TomCruise, JenniferConnelly, MilesTeller, ValKilmer",8.6,"Action,Drama",130min,UA,2022
Everything Everywhere All at Once,"DanKwan,",", MichelleYeoh, StephanieHsu, KeHuyQuan, JamesHong",8.3,"Action,Adventure,Comedy",139min,R,2022
The Batman,MattReeves,"RobertPattinson, ZoëKravitz, JeffreyWright, ColinFarrell",7.9,"Action,Crime,Drama",176min,UA,2022
Jurassic Park,StevenSpielberg,"SamNeill, LauraDern, JeffGoldblum, RichardAttenborough",8.2,"Action,Adventure,Sci-Fi",127min,UA,1993
The Godfather,FrancisFordCoppola,"MarlonBrando, AlPacino, JamesCaan, DianeKeaton",9.2,"Crime,Drama",175min,A,1972
Spider-Man: No Way Home,JonWatts,"TomHolland, Zendaya, BenedictCumberbatch, JacobBatalon",8.3,"Action,Adventure,Fantasy",148min,UA,2021
RRR (Rise Roar Revolt),S.S.Rajamouli,"N.T.RamaRaoJr., RamCharan, AjayDevgn, AliaBhatt",8.1,"Action,Drama",187min,UA,2022
Pirates of the Caribbean: The Curse of the Black Pearl,GoreVerbinski,"JohnnyDepp, GeoffreyRush, OrlandoBloom, KeiraKnightley",8.1,"Action,Adventure,Fantasy",143min,UA,2003
Dune: Part One,DenisVilleneuve,"TimothéeChalamet, RebeccaFerguson, Zendaya, OscarIsaac",8,"Action,Adventure,Drama",155min,UA,2021
Goodfellas,MartinScorsese,"RobertDeNiro, RayLiotta, JoePesci, LorraineBracco",8.7,"Biography,Crime,Drama",145min,A,1990
